เลขร้านค้า,ชื่อร้านค้า,หมายเลขลูกค้า
803201,ข้าวขาหมู,25032000131
803202,ครัวคุณแม่,25032000072
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,25032000091
803205,ChouNan,25032000011
803206,"ราดหน้า,สุกี้",565836
803207,เจมส์กะเพราถาด,25032000077
803208,ก๋วยเตี๋ยวเรือ,25032000012
803209,ข้าวหมกไก่ย่างบังฟารุก,25032000065
803210,ข้าวทิพย์อาหารชุด,25032000074
803211,ก๋วยเตี๋ยวเป็ด,543983
803212,ข้าวผัดกระทะเหล็ก,538668
803216,ขนมหวาน น้ำแข็งใส,25032000139
803217,สกายลักค์,563542
803218,ลูกชิ้นทิพย์,512280
803219,The Glass Room,25032000068
803220,อาหารนานาชาติ,25032000117
803221,เครื่องดื่มทุกชนิด,25032000129
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,25032000099
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,25032000090
803224,Habu Cha,25032000073
803225,ส้มตำ อาหารอีสาน,25032000086
803226,โทริมารุ คาราอาเกะ,25032000080
803227,เครื่องดื่มทุกชนิด,25032000144
