เลขร้านค้า,ชื่อร้านค้า,รายการไอเทม,ราคา
803201,ข้าวขาหมู,ข้าวขาหมู,60.00
803201,ข้าวขาหมู,ข้าวหมูกรอบ,70.00
803201,ข้าวขาหมู,ข้าวขาหมูทุกอย่าง,85.00
803201,ข้าวขาหมู,ข้าวคากิ,70.00
803201,ข้าวขาหมู,ขาหมูเปล่า,150.00
803201,ข้าวขาหมู,ขาหมูรวมทุกอย่าง,200.00
803201,ข้าวขาหมู,คากิเปล่า,100.00
803201,ข้าวขาหมู,หมูกรอบเปล่า,150.00
803201,ข้าวขาหมู,เพิ่มพิเศษ,20.00
803201,ข้าวขาหมู,เพิ่มไส้,20.00
803201,ข้าวขาหมู,ข้าวเปล่า/เพิ่มพิเศษ,10.00
803201,ข้าวขาหมู,เพิ่มไข่,15.00
803201,ข้าวขาหมู,ใส่กล่องกลับบ้านเพิ่ม,7.00
803201,ข้าวขาหมู,หมูกรอบ,30.00
803201,ข้าวขาหมู,Delivery,10.00
803202,ครัวคุณแม่,ข้าวไข่เจียวใส่เครื่อง 2 อย่าง,39.00
803202,ครัวคุณแม่,ข้าวกระเพราหมูสับ,49.00
803202,ครัวคุณแม่,ข้าวกระเพราหมู / ไก่,55.00
803202,ครัวคุณแม่,ข้าวตามสั่งอื่นๆ,65.00
803202,ครัวคุณแม่,ข้าวพริกแกง,55.00
803202,ครัวคุณแม่,ข้าวพริกเผา,55.00
803202,ครัวคุณแม่,ข้าวตามสั่งอื่นๆ,59.00
803202,ครัวคุณแม่,กับข้าว,59.00
803202,ครัวคุณแม่,ข้าวไข่เจียว,55.00
803202,ครัวคุณแม่,ข้าวตามสั่งอื่นๆ,69.00
803202,ครัวคุณแม่,กับข้าวตามสั่ง,89.00
803202,ครัวคุณแม่,ต้มยำ,99.00
803202,ครัวคุณแม่,ต้มจืด,65.00
803202,ครัวคุณแม่,ยำ,79.00
803202,ครัวคุณแม่,ไข่ดาว ไข่เจียว,10.00
803202,ครัวคุณแม่,ข้าวเปล่า,15.00
803202,ครัวคุณแม่,ใส่กล่องกลับบ้านเพิ่ม,7.00
803202,ครัวคุณแม่,พิเศษเพิ่ม,20.00
803202,ครัวคุณแม่,Delivery,10.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,ก๋วยเตี๋ยวลูกชิ้นเนื้อ+เนื้อสด,60.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,ก๋วยเตี๋ยวเนื้อ,75.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,ก๋วยเตี๋ยวเนื้อสด พิเศษ,90.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,เกาเหลา,80.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,เกาเหลาพิเศษ,95.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,ข้าวเปล่า,10.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,ลูกชิ้นเนื้อ,40.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,เนื้อลวก,80.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,เอ็นตุ๋น,30.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,อาหารทานเล่น,20.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,ข้าวกระเพราเนื้อ,75.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,ข้าวหน้าเนื้อผัดน้ำมันหอย,75.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,ไข่ดาว,10.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,ใส่กล่องกลับบ้านเพิ่ม,7.00
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,Delivery,10.00
803205,ChouNan,เมนูอาหารราคา,55.00
803205,ChouNan,เมนูอาหารราคา,60.00
803205,ChouNan,เมนูอาหารราคา,69.00
803205,ChouNan,เมนูอาหารราคา,70.00
803205,ChouNan,เมนูอาหารราคา,75.00
803205,ChouNan,เมนูอาหารราคา,79.00
803205,ChouNan,เมนูอาหารราคา,89.00
803205,ChouNan,เมนูอาหารราคา,95.00
803205,ChouNan,เมนูอาหารราคา,99.00
