Shop Number,Item Code,Item Button,Act Flag,Shop Name,Menu Item Name,Price
803201,V10030500360,1,Y,ข้าวขาหมู,ข้าวขาหมู,60
803201,V10030500390,2,Y,ข้าวขาหมู,ข้าวหมูกรอบ,70
803201,V10031800039,3,Y,ข้าวขาหมู,ข้าวขาหมูทุกอย่าง,85
803201,V10030500378,4,Y,ข้าวขาหมู,ข้าวคากิ,70
803201,V10030500508,5,Y,ข้าวขาหมู,ขาหมูเปล่า,150
803201,V10040900224,6,Y,ข้าวขาหมู,ขาหมูรวมทุกอย่าง,200
803201,V10030500503,7,Y,ข้าวขาหมู,คากิเปล่า,100
803201,V10040700160,8,Y,ข้าวขาหมู,หมูกรอบเปล่า,150
803201,V10032400091,9,Y,ข้าวขาหมู,เพิ่มพิเศษ,20
803201,V231222006,10,Y,ข้าวขาหมู,เพิ่มไส้,20
803201,V14071700001,11,Y,ข้าวขาหมู,ข้าวเปล่า/เพิ่มพิเศษ,10
803201,V10032400067,12,Y,ข้าวขาหมู,เพิ่มไข่,15
803201,V10033100278,13,Y,ข้าวขาหมู,ใส่กล่องกลับบ้านเพิ่ม,7
803201,V10040100360,14,Y,ข้าวขาหมู,หมูกรอบ,30
803201,V251117002,100,Y,ข้าวขาหมู,Delivery,10
803202,V10033100270,1,Y,ครัวคุณแม่,ข้าวไข่เจียวใส่เครื่อง 2 อย่าง,39
803202,V18021200004,2,Y,ครัวคุณแม่,ข้าวกระเพราหมูสับ,49
803202,V10032900031,3,Y,ครัวคุณแม่,ข้าวกระเพราหมู / ไก่,55
803202,V10033000244,4,Y,ครัวคุณแม่,ข้าวตามสั่งอื่นๆ,65
803202,V10030500424,5,Y,ครัวคุณแม่,ข้าวพริกแกง,55
803202,V10030500425,6,Y,ครัวคุณแม่,ข้าวพริกเผา,55
803202,V10030500379,7,Y,ครัวคุณแม่,ข้าวตามสั่งอื่นๆ,59
803202,V10053100018,8,Y,ครัวคุณแม่,กับข้าว,59
803202,V10030500341,9,Y,ครัวคุณแม่,ข้าวไข่เจียว,55
803202,V10030500417,10,Y,ครัวคุณแม่,ข้าวตามสั่งอื่นๆ,69
803202,V10030500403,11,Y,ครัวคุณแม่,กับข้าวตามสั่ง,89
803202,V10030500494,12,Y,ครัวคุณแม่,ต้มยำ,99
803202,V10040100156,13,Y,ครัวคุณแม่,ต้มจืด,65
803202,V17012500001,14,Y,ครัวคุณแม่,ยำ,79
803202,V10030500329,15,Y,ครัวคุณแม่,ไข่ดาว ไข่เจียว,10
803202,V10042000175,16,Y,ครัวคุณแม่,ข้าวเปล่า,15
803202,V10033100278,17,Y,ครัวคุณแม่,ใส่กล่องกลับบ้านเพิ่ม,7
803202,V10042100222,18,Y,ครัวคุณแม่,พิเศษเพิ่ม,20
803202,V251117002,100,Y,ครัวคุณแม่,Delivery,10
803204,V10030500225,1,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,ก๋วยเตี๋ยวลูกชิ้นเนื้อ+เนื้อสด,60
803204,V10040700011,2,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,ก๋วยเตี๋ยวเนื้อ,75
803204,V10040700084,3,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,ก๋วยเตี๋ยวเนื้อสด พิเศษ,90
803204,V10030500412,4,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,เกาเหลา,80
803204,V10040800301,5,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,เกาเหลาพิเศษ,95
803204,V10030500150,6,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,ข้าวเปล่า,10
803204,V10041900181,7,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,ลูกชิ้นเนื้อ,40
803204,V10033100071,8,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,เนื้อลวก,80
803204,V10033000228,9,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,เอ็นตุ๋น,30
803204,V15090800002,10,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,อาหารทานเล่น,20
803204,V17070300001,11,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,ข้าวกระเพราเนื้อ,75
803204,V230819001,12,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,ข้าวหน้าเนื้อผัดน้ำมันหอย,75
803204,V10040700225,13,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,ไข่ดาว,10
803204,V10033100278,14,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,ใส่กล่องกลับบ้านเพิ่ม,7
803204,V251117002,100,Y,ก๋วยเตี๋ยวเนื้อตุ๋น,Delivery,10
803205,V240409001,1,Y,ChouNan,เมนูอาหารราคา,55
803205,V240409002,2,Y,ChouNan,เมนูอาหารราคา,60
803205,V240409003,3,Y,ChouNan,เมนูอาหารราคา,69
803205,V240409004,4,Y,ChouNan,เมนูอาหารราคา,70
803205,V240409006,5,Y,ChouNan,เมนูอาหารราคา,75
803205,V240409007,6,Y,ChouNan,เมนูอาหารราคา,79
803205,V240409008,7,Y,ChouNan,เมนูอาหารราคา,89
803205,V240409009,8,Y,ChouNan,เมนูอาหารราคา,95
803205,V240409010,9,Y,ChouNan,เมนูอาหารราคา,99
803205,V240409011,10,Y,ChouNan,เมนูอาหารราคา,129
803205,V240409012,11,Y,ChouNan,เมนูอาหารราคา,159
803205,V10031200025,12,Y,ChouNan,พิเศษเพิ่ม,10
803205,V10032400102,13,Y,ChouNan,พิเศษเพิ่ม 15,15
803205,V10031600004,14,Y,ChouNan,พิเศษเพิ่ม,20
803205,V10032300029,15,Y,ChouNan,พิเศษเพิ่ม,25
803205,V10032300033,16,Y,ChouNan,พิเศษเพิ่ม,35
803205,V10032300040,17,Y,ChouNan,พิเศษเพิ่ม,40
803205,V10033100049,18,Y,ChouNan,บริการกลับบ้านเพิ่ม,8
803205,V251117002,100,Y,ChouNan,Delivery,10
803206,V10032900018,1,Y,"ราดหน้า,สุกี้",ราดหน้าเส้นหมี่ หมู,55
803206,V10032900016,2,Y,"ราดหน้า,สุกี้",ราดหน้าเส้นใหญ่ หมู,55
803206,V10030500196,3,Y,"ราดหน้า,สุกี้",บะหมี่กรอบราดหน้าหมู,60
803206,V16072200002,4,Y,"ราดหน้า,สุกี้",เส้นหมี่ราดหน้าทะเล,60
803206,V10032900019,5,Y,"ราดหน้า,สุกี้",ราดหน้าเส้นใหญ่ ทะเล,60
803206,V10030500239,6,Y,"ราดหน้า,สุกี้",บะหมี่กรอบราดหน้าทะเล,65
803206,V10030500169,7,Y,"ราดหน้า,สุกี้",ผัดซี้อิ้ว,60
803206,V10040200138,8,Y,"ราดหน้า,สุกี้",สุกี้น้ำหมู,55
803206,V10030500205,9,Y,"ราดหน้า,สุกี้",สุกี้น้ำทะเล,60
803206,V10033100199,10,Y,"ราดหน้า,สุกี้",สุกี้ไก่ แห้ง,60
803206,V10040200140,11,Y,"ราดหน้า,สุกี้",สุกี้หมูแห้ง,60
803206,V10040500144,12,Y,"ราดหน้า,สุกี้",สุกี้แห้งทะเล,50
803206,V10030500179,13,Y,"ราดหน้า,สุกี้",กระเพาะปลา,65
803206,V10031600004,14,Y,"ราดหน้า,สุกี้",พิเศษเพิ่ม,10
803206,V10033100278,15,Y,"ราดหน้า,สุกี้",ใส่กล่องกลับบ้านเพิ่ม,7
803206,V10042200020,16,Y,"ราดหน้า,สุกี้",ผัดซีอิ๋วทะเล,65
803206,V16083100017,17,Y,"ราดหน้า,สุกี้",ราดหน้าเส้นกรอบคะน้าหมูฮ่องกง,75
803206,V10033100200,18,Y,"ราดหน้า,สุกี้",สุกี้ไก่ น้ำ,45
803206,V251117002,100,Y,"ราดหน้า,สุกี้",Delivery,10
803207,V10032400103,1,Y,เจมส์กะเพราถาด,ข้าวกระเพรากุ้ง/หมึก,70
803207,V10031700010,2,Y,เจมส์กะเพราถาด,ข้าวกระเพราทะเล,75
803207,V10040100195,3,Y,เจมส์กะเพราถาด,ข้าวกระเพรารวมมิตร,75
803207,V10033100453,4,Y,เจมส์กะเพราถาด,ข้าวราดกระเพรารวมมิตร,85
803207,V15060800002,5,Y,เจมส์กะเพราถาด,ข้าวคะน้าหมู / ไก่,60
803207,V10040700073,6,Y,เจมส์กะเพราถาด,ข้าวไก่กระเทียม,60
803207,V10030500392,7,Y,เจมส์กะเพราถาด,ข้าวหมูกระเทียม,60
803207,V10030500377,8,Y,เจมส์กะเพราถาด,ข้าวคะน้าหมูกรอบ,70
803207,V230723088,9,Y,เจมส์กะเพราถาด,คะน้าทะเลรวม,75
803207,V10030500406,10,Y,เจมส์กะเพราถาด,ข้าวผัดพริกแกงหมู,60
803207,V230723091,11,Y,เจมส์กะเพราถาด,พริกแกงหมูกรอบ,70
803207,V10033000245,12,Y,เจมส์กะเพราถาด,ผัดพริกแกงทะเล,70
803207,V10031800030,13,Y,เจมส์กะเพราถาด,ข้าวเปล่า/ไข่ดาว,12
803207,P230723136003,14,Y,เจมส์กะเพราถาด,ไข่เยี่ยวม้า,15
803207,V10033100278,15,Y,เจมส์กะเพราถาด,ใส่กล่องกลับบ้านเพิ่ม,7
803207,V251117002,16,Y,เจมส์กะเพราถาด,Delivery,10
803207,V10040700215,17,Y,เจมส์กะเพราถาด,ข้าวกระเพราหมู,60
803207,V10032400110,18,Y,เจมส์กะเพราถาด,ข้าวกระเพราไก่,55
803207,V10032500043,19,Y,เจมส์กะเพราถาด,เพิ่มพิเศษ,15
