Shop Number,Shop Name,Customer No.,Act Flag
803201,ข้าวขาหมู,25032000131,Y
803201,ข้าวขาหมู,533491,N
803202,ข้าวหมูแดง-หมูกรอบ,25032000050,N
803202,Noodle Garden,382932,N
803202,ข้าวแกง,108129,N
803202,ข้าวคลุกน้ำพริกต่างๆ,292821,N
803202,อีสานตำนัว,82202,N
803202,ข้าวคลุกน้ำพริก,536398,Y
803202,ครัวคุณแม่,25032000072,Y
803203,ครัว RX อาหารตามสั่ง,29725,N
803203,ข้าวไข่เจียว แกงชุด,510468,N
803203,ข้าวไข่เจียวแกงชุด,409696,N
803203,ข้าวไข่เจียว,201953,N
803203,LE CELLO,25032000079,N
803203,ห้างหุ้นส่วนจำกัด ครัวไทย 59,367652,N
803204,Sho Ramen,25032000078,N
803204,ก๋วยเตี๋ยวปลา,554240,N
803204,ตระกูลกังก๋วยเตี๋ยวปลา,202013,N
803204,ข้าวมันไก่ทองดี,29828,N
803204,ก๋วยเตี๋ยวเนื้อตุ๋น,25032000091,Y
803204,ก๋วยเตี๋ยวปลา,483838,N
803204,ก๋วยเตี๋ยวต้มยำ-เย็นตาโฟ,25032000002,N
803205,ChouNan,25032000011,Y
803205,ข้าวหน้าเป็ดย่าง กิมเล้ง,92021,N
803205,ข้าวแกง ปักษ์ใต้,429472,N
803205,ก๋วยเตี๋ยว,458301,N
803205,ข้าวแกง,336751,N
803206,ก๋วยเตี๋ยวปลาตระกูลกัง,29721,N
803206,"ราดหน้า,สุกี้",565836,Y
803207,เจมส์กะเพราถาด,25032000077,Y
803207,ผัดไท-หอยทอด,205842,N
803207,ผัดไท หอยทอด,311843,N
803207,ผัดไท Star,45556,N
803207,จารุพัฒน์น้ำพริกสี่ภาค,346374,N
803207,อาหารอีสาน,524558,N
803208,ผัดไท หอยทอด,467432,N
803208,ขนมจีน,369522,N
803208,ผัดไทหอยทอด,440660,N
803208,ก๋วยเตี๋ยวเรือ,25032000012,Y
803208,อีซี่ส์อาหารนานาชาติ ขนมปัง,32027,N
803208,อาหารอีสาน,205843,N
803209,อาหารตามสั่ง,524313,N
803209,ก๋วยจั๊บ,25032000057,N
803209,อาหารตามสั่ง,110224,N
803209,อาหารตามสั่ง,205915,N
803209,ข้าวหมกไก่ย่างบังฟารุก,25032000065,Y
803210,คุณป้ากะเพราถาด,25032000051,N
803210,ก๋วยเตี๋ยวเรือคลองหก,205838,N
803210,บริษัท จันทน์หอมก๋วยเตี๋ยวเรือ จำกัด,209711,N
803210,อาหารตามสั่ง กระเพราถาด,557661,N
803210,ก๋วยเตี๋ยวเรือ,327324,N
803210,ข้าวทิพย์อาหารชุด,25032000074,Y
803211,อาหารอิสลาม,478371,N
803211,ก๋วยเตี๋ยวเป็ด,543983,Y
803212,ข้าวหน้าเป็ดย่าง กิมเล้ง,32024,N
803212,ขนมจีน ก๋วยจั๊บ,205891,N
803212,ข้าวผัดกระทะเหล็ก,538668,Y
803215,Play Land,582645,N
803216,ขนมหวาน น้ำแข็งใส,25032000139,Y
803216,ข้าวมันไก่,205890,N
803216,ข้าวแกง,25032000081,Y
803216,ข้าวมันไก่,556146,N
803217,สกายลักค์,563542,Y
803218,ลูกชิ้นทิพย์,512280,Y
803219,The Glass Room,25032000068,N
803220,อาหารนานาชาติ,25032000117,Y
803220,รุ่มรวยก๋วยเตี๋ยวไก่,25032000070,N
803221,เครื่องดื่มทุกชนิด,25032000129,Y
803222,เด็ดโอชา,25032000069,N
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,25032000099,Y
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,25032000071,N
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,25032000090,Y
803224,Habu Cha,25032000073,Y
803225,ส้มตำ อาหารอีสาน,25032000086,Y
803226,โทริมารุ คาราอาเกะ,25032000080,Y
803227,เครื่องดื่มทุกชนิด,25032000144,Y
803227,เฮงปังปั๊วะ,25032000083,Y
